population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctUnemployed,PctEmploy,murdPerPop,rapesPerPop,robbbPerPop,assaultPerPop,burglPerPop,larcPerPop,autoTheftPerPop,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop,communityname,state
11980.0,3.1,1.37,91.78,6.5,1.88,12.47,21.44,10.93,11.33,11980.0,100.0,75122.0,89.24,1.55,70.2,23.62,1.03,18.39,79584.0,29711.0,227.0,1.96,5.81,9.9,2.7,64.55,0.0,0.0,8.2,32.81,114.85,1132.08,131.26,16.41,41.02,1394.59,BerkeleyHeightstownship,NJ
23123.0,2.82,0.8,95.57,3.44,0.85,11.01,21.3,10.48,17.18,23123.0,100.0,47917.0,78.99,1.11,64.11,35.5,2.75,22.85,55323.0,20148.0,885.0,3.98,5.61,13.72,2.43,61.96,0.0,4.25,21.26,102.05,242.37,1598.78,110.55,4.25,127.56,1955.95,Marpletownship,PA
29344.0,2.43,0.74,94.33,3.43,2.35,11.36,25.88,11.01,10.28,29344.0,100.0,35669.0,82.0,1.15,55.73,22.25,2.94,14.56,42112.0,16946.0,1389.0,4.75,2.8,9.09,4.01,69.8,8.3,16.6,154.95,38.74,758.14,4972.19,376.3,60.87,218.59,6167.51,Tigardcity,OR
16656.0,2.4,1.7,97.35,0.5,0.7,12.55,25.2,12.19,17.57,0.0,0.0,20580.0,68.15,0.24,38.95,39.48,11.71,18.33,26501.0,10810.0,2831.0,17.23,11.05,33.68,9.86,54.74,0.0,57.86,57.86,190.93,1301.78,4142.56,271.93,,306.64,,Gloversvillecity,NY
11245.0,2.76,0.53,89.16,1.17,0.52,24.46,40.53,28.69,12.65,0.0,0.0,17390.0,69.33,0.55,42.82,32.16,11.21,14.43,24018.0,8483.0,2855.0,29.99,12.15,23.06,9.08,52.44,0.0,,32.04,112.14,728.93,8490.87,728.93,40.05,,9988.79,Bemidjicity,MN
140494.0,2.45,2.51,95.65,0.9,0.95,18.09,32.89,20.04,13.26,140494.0,100.0,21577.0,75.78,1.0,41.15,29.31,7.12,14.09,27705.0,11878.0,23223.0,17.78,8.76,23.03,5.72,59.02,4.63,50.98,90.05,297.29,1386.46,5091.64,300.6,88.72,442.95,6867.42,Springfieldcity,MO
28700.0,2.6,1.6,96.57,1.47,1.1,11.17,27.41,12.76,14.42,28700.0,100.0,42805.0,79.47,0.39,47.7,30.23,5.41,17.23,50394.0,18193.0,1126.0,4.01,4.49,13.89,4.85,65.42,0.0,13.53,30.44,182.66,372.09,974.19,487.1,57.5,226.63,1890.88,Norwoodtown,MA
59459.0,2.45,14.2,84.87,0.4,0.63,15.31,27.93,14.78,14.6,59449.0,100.0,23221.0,71.6,0.67,35.74,32.58,8.81,22.59,28901.0,12161.0,10320.0,17.98,10.09,28.67,8.19,56.59,13.13,55.79,160.8,210.02,997.6,3691.79,205.1,14.77,439.73,4909.26,Andersoncity,IN
74111.0,2.46,0.35,97.11,1.25,0.73,16.64,35.16,20.33,8.58,74115.0,100.0,25326.0,83.69,2.93,47.11,19.3,4.21,10.31,34269.0,13554.0,9603.0,13.68,5.52,11.27,4.18,68.51,0.0,43.87,20.05,51.39,532.66,3946.71,258.18,10.03,115.31,4747.58,Fargocity,ND
103590.0,2.62,23.14,67.6,0.92,16.35,19.88,34.55,21.62,13.12,103590.0,100.0,17852.0,74.2,0.86,30.98,29.09,9.06,13.99,24058.0,10195.0,27767.0,28.68,13.01,31.62,8.39,51.37,26.88,130.69,419.89,966.77,2221.81,5673.63,991.8,16.68,1544.24,8903.93,Wacocity,TX
31601.0,2.54,12.63,83.22,0.77,4.39,15.73,28.57,15.16,14.26,31596.0,100.0,24763.0,73.92,1.54,37.36,32.68,7.02,15.2,29509.0,12929.0,4698.0,15.61,9.07,24.86,7.19,57.76,3.11,90.25,220.96,407.69,1456.49,5654.8,469.94,18.67,722.02,7599.9,Shermancity,TX
25158.0,2.89,21.34,49.42,17.21,26.78,13.65,28.82,13.23,9.44,25158.0,100.0,25479.0,73.45,0.0,24.98,22.99,23.63,13.18,28567.0,10505.0,4689.0,19.02,14.03,34.18,10.16,55.94,44.42,77.73,1143.81,1340.0,1769.39,5404.4,1591.71,74.03,2605.96,8839.53,SanPablocity,CA
