carbon_monoxide,nitrogen_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide,particulates2_5,particulates10,ammonia,air_quality_index,date
360.49,0.03,24.33,46.49,0.94,5.55,7.21,2.72,1,2023-11-02 00:00:00
377.18,0.04,26.39,38.62,0.86,6.19,7.9,2.94,1,2023-11-02 01:00:00
367.16,0.03,23.65,39.34,0.77,6.29,8.02,2.85,1,2023-11-02 02:00:00
337.12,0.01,18.16,45.06,0.68,5.64,7.3,2.6,1,2023-11-02 03:00:00
330.45,0.02,16.45,45.06,0.59,5.42,7.02,2.56,1,2023-11-02 04:00:00
347.14,0.05,19.71,37.19,0.51,5.91,7.49,2.56,1,2023-11-02 05:00:00
347.14,0.05,19.19,32.9,0.47,5.54,7.01,1.76,1,2023-11-02 06:00:00
337.12,0.05,16.96,31.11,0.44,5.31,6.69,1.09,1,2023-11-02 07:00:00
327.11,0.05,15.42,28.61,0.57,5.41,6.75,1.52,1,2023-11-02 08:00:00
320.43,0.08,14.91,25.39,0.71,5.69,7.02,1.95,1,2023-11-02 09:00:00
323.77,0.12,15.25,21.64,0.83,6.12,7.47,2.28,1,2023-11-02 10:00:00
327.11,0.2,15.94,18.06,0.92,6.46,7.85,2.66,1,2023-11-02 11:00:00
337.12,0.5,17.99,13.59,1.01,7.02,8.47,3.17,1,2023-11-02 12:00:00
403.88,4.19,25.02,4.11,1.13,9.13,10.88,4.37,1,2023-11-02 13:00:00
500.68,15.65,26.05,1.37,0.97,11.36,13.43,3.32,2,2023-11-02 14:00:00
547.41,25.26,20.22,6.62,0.92,11.99,14.2,2.47,2,2023-11-02 15:00:00
417.23,12.74,15.25,22.53,1.21,8.52,10.18,1.87,1,2023-11-02 16:00:00
360.49,8.49,11.31,31.83,1.37,7.03,8.44,1.77,1,2023-11-02 17:00:00
337.12,6.82,9.51,36.48,1.68,6.03,7.31,1.73,1,2023-11-02 18:00:00
283.72,2.4,6.08,65.8,1.79,5.55,7.04,1.44,2,2023-11-02 19:00:00
270.37,1.48,4.76,75.1,1.51,5.35,6.98,1.47,2,2023-11-02 20:00:00
267.03,1.1,4.41,76.53,1.27,5.25,6.83,1.49,2,2023-11-02 21:00:00
277.04,1.05,6.51,72.96,1.15,5.58,7.13,1.61,2,2023-11-02 22:00:00
293.73,0.54,10.71,64.37,0.98,5.9,7.47,1.82,2,2023-11-02 23:00:00
303.75,0.01,13.19,58.65,0.75,5.91,7.58,1.98,1,2023-11-03 00:00:00
307.08,0.0,13.37,57.94,0.62,5.93,7.72,2.06,1,2023-11-03 01:00:00
300.41,0.0,12.34,57.94,0.63,5.97,7.75,2.09,1,2023-11-03 02:00:00
287.06,0.0,10.37,58.65,0.63,5.94,7.64,2.03,1,2023-11-03 03:00:00
